@RELATION fullstop

             @ATTRIBUTE three_before_numeric {TRUE, FALSE}

             @ATTRIBUTE two_before_type {fullstop, numeric, other}

             @ATTRIBUTE two_after_fullstop {TRUE, FALSE}

             @ATTRIBUTE one_after_type {lower, capital_common, np, comma, fullstop, numeric, quotes, other}

             @ATTRIBUTE one_before_type {title, abbrev, internal, quotes, time, other}

             @ATTRIBUTE one_before_contains_fullstop {TRUE, FALSE}

             @ATTRIBUTE one_before_capitals integer

             @ATTRIBUTE one_after_length integer

             @ATTRIBUTE one_before_length integer

             @ATTRIBUTE words_since_EOS integer

             @ATTRIBUTE words_until_EOS integer

             @ATTRIBUTE spaces_following integer

             @ATTRIBUTE class {EOS, NEOS}

             @DATA
FALSE,other,FALSE,capital_common,other,FALSE,0,5,8,38,38,2,EOS
FALSE,other,FALSE,numeric,abbrev,FALSE,1,1,3,27,51,1,NEOS
FALSE,other,FALSE,np,quotes,FALSE,0,3,2,15,0,0,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,3,82,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,1,3,5,26,29,1,EOS
FALSE,other,FALSE,np,other,FALSE,1,3,6,77,0,0,EOS
FALSE,other,FALSE,other,other,FALSE,0,8,6,12,18,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,7,26,6,2,EOS
TRUE,other,FALSE,capital_common,other,FALSE,0,2,1,17,10,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,9,20,0,0,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,6,37,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,4,913,268,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,3,37,23,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,11,47,27,1,EOS
FALSE,other,FALSE,numeric,other,FALSE,0,1,7,32,43,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,4,203,66,1,EOS
FALSE,other,FALSE,numeric,abbrev,FALSE,1,2,4,21,92,1,NEOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,8,92,21,1,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,7,102,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,5,6,74,115,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,1,2,2,62,75,2,EOS
FALSE,other,TRUE,capital_common,other,FALSE,1,2,8,8,8,1,EOS
FALSE,other,TRUE,other,other,FALSE,1,1,1,218,72,1,NEOS
FALSE,other,FALSE,other,other,FALSE,0,8,4,24,77,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,11,37,131,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,7,43,20,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,13,18,142,3,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,5,63,14,1,EOS
FALSE,other,FALSE,other,other,FALSE,0,11,7,108,14,2,EOS
FALSE,other,FALSE,np,other,FALSE,0,3,11,71,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,11,131,83,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,1,5,6,23,162,2,EOS
TRUE,other,FALSE,lower,abbrev,FALSE,0,3,2,51,157,1,NEOS
